id,company_name,city,state,project_focus,company_scale,procurement_contact,phone,email,estimated_annual_paint_liters,verified_status
46890,"Guntur M Civil Engineering Developers","Guntur","Andhra Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700234473,purchase@gunturmcivilengbuild.in,192500,"Verified RERA Active"
46891,"Kollam N Civil Engineering Developers","Kollam","Kerala","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700234478,purchase@kollamncivilengbuild.in,193250,"Verified RERA Active"
46892,"Durgapur O Living Spaces LLP","Durgapur","West Bengal","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700234483,purchase@durgapurolivingbuild.in,194000,"Verified RERA Active"
46893,"Darbhanga P Projects India","Darbhanga","Bihar","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700234488,purchase@darbhangapprojebuild.in,194750,"Verified RERA Active"
46894,"Cuttack Q Buildtech India Pvt Ltd","Cuttack","Odisha","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234493,purchase@cuttackqbuildtebuild.in,195500,"Verified RERA Active"
46895,"Hazaribagh R Civil Engineering Developers","Hazaribagh","Jharkhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700234498,purchase@hazaribaghrcivibuild.in,196250,"Verified RERA Active"
46896,"Agartala S Living Spaces LLP","Agartala","Assam & NE","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700234503,purchase@agartalaslivingbuild.in,197000,"Verified RERA Active"
46897,"North T Projects India","North Delhi","Delhi NCR","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700234508,purchase@northtprojectsibuild.in,197750,"Verified RERA Active"
46898,"Meerut U Buildtech India Pvt Ltd","Meerut","Uttar Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234513,purchase@meerutubuildtecbuild.in,198500,"Verified RERA Active"
46899,"Bhilwara V Civil Engineering Developers","Bhilwara","Rajasthan","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700234518,purchase@bhilwaravcivilebuild.in,199250,"Verified RERA Active"
46900,"Rohtak W Living Spaces LLP","Rohtak","Haryana","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700234523,purchase@rohtakwlivingspbuild.in,200000,"Verified RERA Active"
46901,"Mohali X Living Spaces LLP","Mohali","Punjab","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700234528,purchase@mohalixlivingspbuild.in,200750,"Verified RERA Active"
46902,"Dehradun Y Projects India","Dehradun","Uttarakhand","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700234533,purchase@dehradunyprojecbuild.in,201500,"Verified RERA Active"
46903,"Dharamshala Z Buildtech India Pvt Ltd","Dharamshala","Himachal Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234538,purchase@dharamshalazbuibuild.in,202250,"Verified RERA Active"
46904,"Anantnag A Civil Engineering Developers","Anantnag","Jammu & Kashmir","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234543,purchase@anantnagacivilebuild.in,203000,"Verified RERA Active"
46905,"Aurangabad B Living Spaces LLP","Aurangabad","Maharashtra","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700234548,purchase@aurangabadblivibuild.in,203750,"Verified RERA Active"
46906,"Vapi C Projects India","Vapi","Gujarat","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700234553,purchase@vapicprojectsinbuild.in,204500,"Verified RERA Active"
46907,"Ratlam D Buildtech India Pvt Ltd","Ratlam","Madhya Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700234558,purchase@ratlamdbuildtecbuild.in,205250,"Verified RERA Active"
46908,"Raipur E Civil Engineering Developers","Raipur","Chhattisgarh","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700234563,purchase@raipurecivilengbuild.in,206000,"Verified RERA Active"
46909,"Ponda F Living Spaces LLP","Ponda","Goa","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234568,purchase@pondaflivingspabuild.in,206750,"Verified RERA Active"
46910,"Davanagere G Projects India","Davanagere","Karnataka","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700234573,purchase@davanageregprojbuild.in,207500,"Verified RERA Active"
46911,"Vellore H Projects India","Vellore","Tamil Nadu","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700234578,purchase@vellorehprojectbuild.in,208250,"Verified RERA Active"
46912,"Khammam I Buildtech India Pvt Ltd","Khammam","Telangana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700234583,purchase@khammamibuildtebuild.in,209000,"Verified RERA Active"
46913,"Vijayawada J Civil Engineering Developers","Vijayawada","Andhra Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234588,purchase@vijayawadajcivibuild.in,209750,"Verified RERA Active"
46914,"Kozhikode K Living Spaces LLP","Kozhikode","Kerala","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700234593,purchase@kozhikodeklivinbuild.in,210500,"Verified RERA Active"
46915,"Siliguri L Projects India","Siliguri","West Bengal","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700234598,purchase@siligurilprojecbuild.in,211250,"Verified RERA Active"
46916,"Purnia M Buildtech India Pvt Ltd","Purnia","Bihar","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700234603,purchase@purniambuildtecbuild.in,212000,"Verified RERA Active"
46917,"Berhampur N Civil Engineering Developers","Berhampur","Odisha","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700234608,purchase@berhampurncivilbuild.in,212750,"Verified RERA Active"
46918,"Deoghar O Living Spaces LLP","Deoghar","Jharkhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234613,purchase@deogharolivingsbuild.in,213500,"Verified RERA Active"
46919,"Dibrugarh P Projects India","Dibrugarh","Assam & NE","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234618,purchase@dibrugarhpprojebuild.in,214250,"Verified RERA Active"
46920,"New Q Buildtech India Pvt Ltd","New Delhi","Delhi NCR","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700234623,purchase@newqbuildtechinbuild.in,215000,"Verified RERA Active"
46921,"Bareilly R Buildtech India Pvt Ltd","Bareilly","Uttar Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700234628,purchase@bareillyrbuildtbuild.in,215750,"Verified RERA Active"
46922,"Alwar S Civil Engineering Developers","Alwar","Rajasthan","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700234633,purchase@alwarscivilengibuild.in,216500,"Verified RERA Active"
46923,"Hisar T Living Spaces LLP","Hisar","Haryana","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700234638,purchase@hisartlivingspabuild.in,217250,"Verified RERA Active"
46924,"Bathinda U Projects India","Bathinda","Punjab","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234643,purchase@bathindauprojecbuild.in,218000,"Verified RERA Active"
46925,"Rishikesh V Buildtech India Pvt Ltd","Rishikesh","Uttarakhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700234648,purchase@rishikeshvbuildbuild.in,218750,"Verified RERA Active"
46926,"Shimla W Civil Engineering Developers","Shimla","Himachal Pradesh","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700234653,purchase@shimlawcivilengbuild.in,219500,"Verified RERA Active"
46927,"Jammu X Living Spaces LLP","Jammu","Jammu & Kashmir","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700234658,purchase@jammuxlivingspabuild.in,220250,"Verified RERA Active"
46928,"Navi Y Projects India","Navi Mumbai","Maharashtra","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234663,purchase@naviyprojectsinbuild.in,221000,"Verified RERA Active"
46929,"Rajkot Z Buildtech India Pvt Ltd","Rajkot","Gujarat","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700234668,purchase@rajkotzbuildtecbuild.in,221750,"Verified RERA Active"
46930,"Ujjain A Civil Engineering Developers","Ujjain","Madhya Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700234673,purchase@ujjainacivilengbuild.in,222500,"Verified RERA Active"
46931,"Rajnandgaon B Civil Engineering Developers","Rajnandgaon","Chhattisgarh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700234678,purchase@rajnandgaonbcivbuild.in,223250,"Verified RERA Active"
46932,"Vasco C Living Spaces LLP","Vasco da Gama","Goa","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700234683,purchase@vascoclivingspabuild.in,224000,"Verified RERA Active"
46933,"Kalaburagi D Projects India","Kalaburagi","Karnataka","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234688,purchase@kalaburagidprojbuild.in,224750,"Verified RERA Active"
46934,"Erode E Buildtech India Pvt Ltd","Erode","Tamil Nadu","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234693,purchase@erodeebuildtechbuild.in,225500,"Verified RERA Active"
46935,"Karimnagar F Civil Engineering Developers","Karimnagar","Telangana","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700234698,purchase@karimnagarfcivibuild.in,226250,"Verified RERA Active"
46936,"Visakhapatnam G Living Spaces LLP","Visakhapatnam","Andhra Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700234703,purchase@visakhapatnamglbuild.in,227000,"Verified RERA Active"
46937,"Kochi H Projects India","Kochi","Kerala","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700234708,purchase@kochihprojectsibuild.in,227750,"Verified RERA Active"
46938,"Asansol I Buildtech India Pvt Ltd","Asansol","West Bengal","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700234713,purchase@asansolibuildtebuild.in,228500,"Verified RERA Active"
46939,"Muzaffarpur J Civil Engineering Developers","Muzaffarpur","Bihar","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234718,purchase@muzaffarpurjcivbuild.in,229250,"Verified RERA Active"
46940,"Puri K Living Spaces LLP","Puri","Odisha","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700234723,purchase@puriklivingspacbuild.in,230000,"Verified RERA Active"
46941,"Bokaro L Living Spaces LLP","Bokaro Steel City","Jharkhand","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700234728,purchase@bokarollivingspbuild.in,230750,"Verified RERA Active"
46942,"Imphal M Projects India","Imphal","Assam & NE","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700234733,purchase@imphalmprojectsbuild.in,231500,"Verified RERA Active"
46943,"Ghaziabad N Buildtech India Pvt Ltd","Ghaziabad","Delhi NCR","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234738,purchase@ghaziabadnbuildbuild.in,232250,"Verified RERA Active"
46944,"Aligarh O Civil Engineering Developers","Aligarh","Uttar Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700234743,purchase@aligarhocivilenbuild.in,233000,"Verified RERA Active"
46945,"Sikar P Living Spaces LLP","Sikar","Rajasthan","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700234748,purchase@sikarplivingspabuild.in,233750,"Verified RERA Active"
46946,"Karnal Q Projects India","Karnal","Haryana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700234753,purchase@karnalqprojectsbuild.in,234500,"Verified RERA Active"
46947,"Patiala R Buildtech India Pvt Ltd","Patiala","Punjab","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700234758,purchase@patialarbuildtebuild.in,235250,"Verified RERA Active"
46948,"Rudrapur S Civil Engineering Developers","Rudrapur","Uttarakhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234763,purchase@rudrapurscivilebuild.in,236000,"Verified RERA Active"
46949,"Kullu T Living Spaces LLP","Kullu","Himachal Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234768,purchase@kullutlivingspabuild.in,236750,"Verified RERA Active"
46950,"Srinagar U Projects India","Srinagar","Jammu & Kashmir","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700234773,purchase@srinagaruprojecbuild.in,237500,"Verified RERA Active"
46951,"Pune V Projects India","Pune","Maharashtra","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700234778,purchase@punevprojectsinbuild.in,238250,"Verified RERA Active"
46952,"Ankleshwar W Buildtech India Pvt Ltd","Ankleshwar","Gujarat","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700234783,purchase@ankleshwarwbuilbuild.in,239000,"Verified RERA Active"
46953,"Indore X Civil Engineering Developers","Indore","Madhya Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700234788,purchase@indorexcivilengbuild.in,239750,"Verified RERA Active"
46954,"Durg Y Living Spaces LLP","Durg","Chhattisgarh","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234793,purchase@durgylivingspacbuild.in,240500,"Verified RERA Active"
46955,"Panaji Z Projects India","Panaji","Goa","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700234798,purchase@panajizprojectsbuild.in,241250,"Verified RERA Active"
46956,"Belagavi A Buildtech India Pvt Ltd","Belagavi","Karnataka","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700234803,purchase@belagaviabuildtbuild.in,242000,"Verified RERA Active"
46957,"Tiruppur B Civil Engineering Developers","Tiruppur","Tamil Nadu","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700234808,purchase@tiruppurbcivilebuild.in,242750,"Verified RERA Active"
46958,"Nizamabad C Living Spaces LLP","Nizamabad","Telangana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234813,purchase@nizamabadclivinbuild.in,243500,"Verified RERA Active"
46959,"Kakinada D Projects India","Kakinada","Andhra Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700234818,purchase@kakinadadprojecbuild.in,244250,"Verified RERA Active"
46960,"Thiruvananthapuram E Buildtech India Pvt Ltd","Thiruvananthapuram","Kerala","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700234823,purchase@thiruvananthapubuild.in,245000,"Verified RERA Active"
46961,"Howrah F Buildtech India Pvt Ltd","Howrah","West Bengal","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700234828,purchase@howrahfbuildtecbuild.in,245750,"Verified RERA Active"
46962,"Bhagalpur G Civil Engineering Developers","Bhagalpur","Bihar","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700234833,purchase@bhagalpurgcivilbuild.in,246500,"Verified RERA Active"
46963,"Bhubaneswar H Living Spaces LLP","Bhubaneswar","Odisha","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234838,purchase@bhubaneswarhlivbuild.in,247250,"Verified RERA Active"
46964,"Dhanbad I Projects India","Dhanbad","Jharkhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234843,purchase@dhanbadiprojectbuild.in,248000,"Verified RERA Active"
46965,"Jorhat J Buildtech India Pvt Ltd","Jorhat","Assam & NE","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700234848,purchase@jorhatjbuildtecbuild.in,248750,"Verified RERA Active"
46966,"Faridabad K Civil Engineering Developers","Faridabad","Delhi NCR","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700234853,purchase@faridabadkcivilbuild.in,249500,"Verified RERA Active"
46967,"Gorakhpur L Living Spaces LLP","Gorakhpur","Uttar Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700234858,purchase@gorakhpurllivinbuild.in,250250,"Verified RERA Active"
46968,"Bhiwadi M Projects India","Bhiwadi","Rajasthan","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700234863,purchase@bhiwadimprojectbuild.in,251000,"Verified RERA Active"
46969,"Ambala N Buildtech India Pvt Ltd","Ambala","Haryana","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234868,purchase@ambalanbuildtecbuild.in,251750,"Verified RERA Active"
46970,"Jalandhar O Civil Engineering Developers","Jalandhar","Punjab","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700234873,purchase@jalandharocivilbuild.in,252500,"Verified RERA Active"
46971,"Haldwani P Civil Engineering Developers","Haldwani","Uttarakhand","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700234878,purchase@haldwanipcivilebuild.in,253250,"Verified RERA Active"
46972,"Baddi Q Living Spaces LLP","Baddi Industrial Zone","Himachal Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700234883,purchase@baddiqlivingspabuild.in,254000,"Verified RERA Active"
46973,"Udhampur R Projects India","Udhampur","Jammu & Kashmir","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234888,purchase@udhampurrprojecbuild.in,254750,"Verified RERA Active"
46974,"Nashik S Buildtech India Pvt Ltd","Nashik","Maharashtra","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700234893,purchase@nashiksbuildtecbuild.in,255500,"Verified RERA Active"
46975,"Bhavnagar T Civil Engineering Developers","Bhavnagar","Gujarat","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700234898,purchase@bhavnagartcivilbuild.in,256250,"Verified RERA Active"
46976,"Sagar U Living Spaces LLP","Sagar","Madhya Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700234903,purchase@sagarulivingspabuild.in,257000,"Verified RERA Active"
46977,"Korba V Projects India","Korba","Chhattisgarh","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700234908,purchase@korbavprojectsibuild.in,257750,"Verified RERA Active"
46978,"Mapusa W Buildtech India Pvt Ltd","Mapusa","Goa","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234913,purchase@mapusawbuildtecbuild.in,258500,"Verified RERA Active"
46979,"Mangaluru X Civil Engineering Developers","Mangaluru","Karnataka","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234918,purchase@mangaluruxcivilbuild.in,259250,"Verified RERA Active"
46980,"Salem Y Living Spaces LLP","Salem","Tamil Nadu","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700234923,purchase@salemylivingspabuild.in,260000,"Verified RERA Active"
46981,"Warangal Z Living Spaces LLP","Warangal","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700234928,purchase@warangalzlivingbuild.in,260750,"Verified RERA Active"
46982,"Tirupati A Projects India","Tirupati","Andhra Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700234933,purchase@tirupatiaprojecbuild.in,261500,"Verified RERA Active"
46983,"Palakkad B Buildtech India Pvt Ltd","Palakkad","Kerala","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700234938,purchase@palakkadbbuildtbuild.in,262250,"Verified RERA Active"
46984,"Kolkata C Civil Engineering Developers","Kolkata","West Bengal","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234943,purchase@kolkataccivilenbuild.in,263000,"Verified RERA Active"
46985,"Gaya D Living Spaces LLP","Gaya","Bihar","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700234948,purchase@gayadlivingspacbuild.in,263750,"Verified RERA Active"
46986,"Rourkela E Projects India","Rourkela","Odisha","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700234953,purchase@rourkelaeprojecbuild.in,264500,"Verified RERA Active"
46987,"Jamshedpur F Buildtech India Pvt Ltd","Jamshedpur","Jharkhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700234958,purchase@jamshedpurfbuilbuild.in,265250,"Verified RERA Active"
46988,"Aizawl G Civil Engineering Developers","Aizawl","Assam & NE","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234963,purchase@aizawlgcivilengbuild.in,266000,"Verified RERA Active"
46989,"Greater H Living Spaces LLP","Greater Noida","Delhi NCR","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700234968,purchase@greaterhlivingsbuild.in,266750,"Verified RERA Active"
46990,"Moradabad I Projects India","Moradabad","Uttar Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700234973,purchase@moradabadiprojebuild.in,267500,"Verified RERA Active"
46991,"Sri J Projects India","Sri Ganganagar","Rajasthan","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700234978,purchase@srijprojectsindbuild.in,268250,"Verified RERA Active"
46992,"Panipat K Buildtech India Pvt Ltd","Panipat","Haryana","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700234983,purchase@panipatkbuildtebuild.in,269000,"Verified RERA Active"
46993,"Amritsar L Civil Engineering Developers","Amritsar","Punjab","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700234988,purchase@amritsarlcivilebuild.in,269750,"Verified RERA Active"
46994,"Roorkee M Living Spaces LLP","Roorkee","Uttarakhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700234993,purchase@roorkeemlivingsbuild.in,270500,"Verified RERA Active"
46995,"Mandi N Projects India","Mandi","Himachal Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700234998,purchase@mandinprojectsibuild.in,271250,"Verified RERA Active"
46996,"Kathua O Buildtech India Pvt Ltd","Kathua","Jammu & Kashmir","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700235003,purchase@kathuaobuildtecbuild.in,272000,"Verified RERA Active"
46997,"Kolhapur P Civil Engineering Developers","Kolhapur","Maharashtra","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700235008,purchase@kolhapurpcivilebuild.in,272750,"Verified RERA Active"
46998,"Ahmedabad Q Living Spaces LLP","Ahmedabad","Gujarat","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700235013,purchase@ahmedabadqlivinbuild.in,273500,"Verified RERA Active"
46999,"Bhopal R Projects India","Bhopal","Madhya Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235018,purchase@bhopalrprojectsbuild.in,274250,"Verified RERA Active"
47000,"Bilaspur S Buildtech India Pvt Ltd","Bilaspur","Chhattisgarh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700235023,purchase@bilaspursbuildtbuild.in,25000,"Verified RERA Active"
47001,"Margao T Buildtech India Pvt Ltd","Margao","Goa","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700235028,purchase@margaotbuildtecbuild.in,25750,"Verified RERA Active"
47002,"Hubballi-Dharwad U Civil Engineering Developers","Hubballi-Dharwad","Karnataka","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700235033,purchase@hubballidharwadbuild.in,26500,"Verified RERA Active"
47003,"Tiruchirappalli V Living Spaces LLP","Tiruchirappalli","Tamil Nadu","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235038,purchase@tiruchirappallibuild.in,27250,"Verified RERA Active"
47004,"Hyderabad W Projects India","Hyderabad","Telangana","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700235043,purchase@hyderabadwprojebuild.in,28000,"Verified RERA Active"
47005,"Rajahmundry X Buildtech India Pvt Ltd","Rajahmundry","Andhra Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700235048,purchase@rajahmundryxbuibuild.in,28750,"Verified RERA Active"
47006,"Alappuzha Y Civil Engineering Developers","Alappuzha","Kerala","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700235053,purchase@alappuzhaycivilbuild.in,29500,"Verified RERA Active"
47007,"Kharagpur Z Living Spaces LLP","Kharagpur","West Bengal","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700235058,purchase@kharagpurzlivinbuild.in,30250,"Verified RERA Active"
47008,"Patna A Projects India","Patna","Bihar","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700235063,purchase@patnaaprojectsibuild.in,31000,"Verified RERA Active"
47009,"Sambalpur B Buildtech India Pvt Ltd","Sambalpur","Odisha","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235068,purchase@sambalpurbbuildbuild.in,31750,"Verified RERA Active"
47010,"Ranchi C Civil Engineering Developers","Ranchi","Jharkhand","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700235073,purchase@ranchiccivilengbuild.in,32500,"Verified RERA Active"
47011,"Nagaon D Civil Engineering Developers","Nagaon","Assam & NE","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700235078,purchase@nagaondcivilengbuild.in,33250,"Verified RERA Active"
47012,"Noida E Living Spaces LLP","Noida","Delhi NCR","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700235083,purchase@noidaelivingspabuild.in,34000,"Verified RERA Active"
47013,"Saharanpur F Projects India","Saharanpur","Uttar Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700235088,purchase@saharanpurfprojbuild.in,34750,"Verified RERA Active"
47014,"Jaipur G Buildtech India Pvt Ltd","Jaipur","Rajasthan","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700235093,purchase@jaipurgbuildtecbuild.in,35500,"Verified RERA Active"
47015,"Panchkula H Civil Engineering Developers","Panchkula","Haryana","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700235098,purchase@panchkulahcivilbuild.in,36250,"Verified RERA Active"
47016,"Ludhiana I Living Spaces LLP","Ludhiana","Punjab","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700235103,purchase@ludhianailivingbuild.in,37000,"Verified RERA Active"
