id,company_name,district_hq,project_types,company_scale,purchase_contact_person,phone,email,estimated_annual_paint_requirement_liters
752,"Kota Y Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829015264,procurement@kotabuild752.in,23200
753,"Alwar Z Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829015271,procurement@alwarbuild753.in,23550
754,"Ajmer A Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829015278,procurement@ajmerbuild754.in,23900
755,"Bhilwara B Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829015285,procurement@bhilwarabuild755.in,24250
756,"Jaipur C Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829015292,procurement@jaipurbuild756.in,24600
757,"Jodhpur D Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829015299,procurement@jodhpurbuild757.in,24950
758,"Udaipur E Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829015306,procurement@udaipurbuild758.in,25300
759,"Kota F Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829015313,procurement@kotabuild759.in,25650
760,"Alwar G Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829015320,procurement@alwarbuild760.in,26000
761,"Ajmer H Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829015327,procurement@ajmerbuild761.in,26350
762,"Bhilwara I Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829015334,procurement@bhilwarabuild762.in,26700
763,"Jaipur J Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829015341,procurement@jaipurbuild763.in,27050
764,"Jodhpur K Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829015348,procurement@jodhpurbuild764.in,27400
765,"Udaipur L Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829015355,procurement@udaipurbuild765.in,27750
766,"Kota M Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829015362,procurement@kotabuild766.in,28100
767,"Alwar N Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829015369,procurement@alwarbuild767.in,28450
768,"Ajmer O Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829015376,procurement@ajmerbuild768.in,28800
769,"Bhilwara P Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829015383,procurement@bhilwarabuild769.in,29150
770,"Jaipur Q Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829015390,procurement@jaipurbuild770.in,29500
771,"Jodhpur R Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829015397,procurement@jodhpurbuild771.in,29850
772,"Udaipur S Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829015404,procurement@udaipurbuild772.in,30200
773,"Kota T Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829015411,procurement@kotabuild773.in,30550
774,"Alwar U Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829015418,procurement@alwarbuild774.in,30900
775,"Ajmer V Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829015425,procurement@ajmerbuild775.in,31250
776,"Bhilwara W Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829015432,procurement@bhilwarabuild776.in,31600
777,"Jaipur X Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829015439,procurement@jaipurbuild777.in,31950
778,"Jodhpur Y Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829015446,procurement@jodhpurbuild778.in,32300
779,"Udaipur Z Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829015453,procurement@udaipurbuild779.in,32650
780,"Kota A Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829015460,procurement@kotabuild780.in,33000
781,"Alwar B Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829015467,procurement@alwarbuild781.in,33350
782,"Ajmer C Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829015474,procurement@ajmerbuild782.in,33700
783,"Bhilwara D Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829015481,procurement@bhilwarabuild783.in,34050
784,"Jaipur E Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829015488,procurement@jaipurbuild784.in,34400
785,"Jodhpur F Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829015495,procurement@jodhpurbuild785.in,34750
786,"Udaipur G Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829015502,procurement@udaipurbuild786.in,35100
787,"Kota H Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829015509,procurement@kotabuild787.in,35450
788,"Alwar I Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829015516,procurement@alwarbuild788.in,35800
789,"Ajmer J Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829015523,procurement@ajmerbuild789.in,36150
790,"Bhilwara K Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829015530,procurement@bhilwarabuild790.in,36500
791,"Jaipur L Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829015537,procurement@jaipurbuild791.in,36850
792,"Jodhpur M Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829015544,procurement@jodhpurbuild792.in,37200
793,"Udaipur N Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829015551,procurement@udaipurbuild793.in,37550
794,"Kota O Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829015558,procurement@kotabuild794.in,37900
795,"Alwar P Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829015565,procurement@alwarbuild795.in,38250
796,"Ajmer Q Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829015572,procurement@ajmerbuild796.in,38600
797,"Bhilwara R Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829015579,procurement@bhilwarabuild797.in,38950
798,"Jaipur S Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829015586,procurement@jaipurbuild798.in,39300
799,"Jodhpur T Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829015593,procurement@jodhpurbuild799.in,39650
800,"Udaipur U Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829015600,procurement@udaipurbuild800.in,40000
801,"Kota V Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829015607,procurement@kotabuild801.in,40350
802,"Alwar W Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829015614,procurement@alwarbuild802.in,40700
803,"Ajmer X Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829015621,procurement@ajmerbuild803.in,41050
804,"Bhilwara Y Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829015628,procurement@bhilwarabuild804.in,41400
805,"Jaipur Z Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829015635,procurement@jaipurbuild805.in,41750
806,"Jodhpur A Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829015642,procurement@jodhpurbuild806.in,42100
807,"Udaipur B Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829015649,procurement@udaipurbuild807.in,42450
808,"Kota C Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829015656,procurement@kotabuild808.in,42800
809,"Alwar D Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829015663,procurement@alwarbuild809.in,43150
810,"Ajmer E Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829015670,procurement@ajmerbuild810.in,43500
811,"Bhilwara F Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829015677,procurement@bhilwarabuild811.in,43850
812,"Jaipur G Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829015684,procurement@jaipurbuild812.in,44200
813,"Jodhpur H Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829015691,procurement@jodhpurbuild813.in,44550
814,"Udaipur I Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829015698,procurement@udaipurbuild814.in,44900
815,"Kota J Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829015705,procurement@kotabuild815.in,45250
816,"Alwar K Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829015712,procurement@alwarbuild816.in,45600
817,"Ajmer L Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829015719,procurement@ajmerbuild817.in,45950
818,"Bhilwara M Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829015726,procurement@bhilwarabuild818.in,46300
819,"Jaipur N Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829015733,procurement@jaipurbuild819.in,46650
820,"Jodhpur O Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829015740,procurement@jodhpurbuild820.in,47000
821,"Udaipur P Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829015747,procurement@udaipurbuild821.in,47350
822,"Kota Q Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829015754,procurement@kotabuild822.in,47700
823,"Alwar R Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829015761,procurement@alwarbuild823.in,48050
824,"Ajmer S Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829015768,procurement@ajmerbuild824.in,48400
825,"Bhilwara T Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829015775,procurement@bhilwarabuild825.in,48750
826,"Jaipur U Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829015782,procurement@jaipurbuild826.in,49100
827,"Jodhpur V Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829015789,procurement@jodhpurbuild827.in,49450
828,"Udaipur W Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829015796,procurement@udaipurbuild828.in,49800
829,"Kota X Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829015803,procurement@kotabuild829.in,50150
830,"Alwar Y Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829015810,procurement@alwarbuild830.in,50500
831,"Ajmer Z Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829015817,procurement@ajmerbuild831.in,50850
832,"Bhilwara A Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829015824,procurement@bhilwarabuild832.in,51200
833,"Jaipur B Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829015831,procurement@jaipurbuild833.in,51550
834,"Jodhpur C Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829015838,procurement@jodhpurbuild834.in,51900
835,"Udaipur D Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829015845,procurement@udaipurbuild835.in,52250
836,"Kota E Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829015852,procurement@kotabuild836.in,52600
837,"Alwar F Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829015859,procurement@alwarbuild837.in,52950
838,"Ajmer G Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829015866,procurement@ajmerbuild838.in,53300
839,"Bhilwara H Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829015873,procurement@bhilwarabuild839.in,53650
840,"Jaipur I Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829015880,procurement@jaipurbuild840.in,54000
841,"Jodhpur J Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829015887,procurement@jodhpurbuild841.in,54350
842,"Udaipur K Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829015894,procurement@udaipurbuild842.in,54700
843,"Kota L Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829015901,procurement@kotabuild843.in,55050
844,"Alwar M Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829015908,procurement@alwarbuild844.in,55400
845,"Ajmer N Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829015915,procurement@ajmerbuild845.in,55750
846,"Bhilwara O Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829015922,procurement@bhilwarabuild846.in,56100
847,"Jaipur P Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829015929,procurement@jaipurbuild847.in,56450
848,"Jodhpur Q Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829015936,procurement@jodhpurbuild848.in,56800
849,"Udaipur R Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829015943,procurement@udaipurbuild849.in,57150
850,"Kota S Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829015950,procurement@kotabuild850.in,57500
851,"Alwar T Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829015957,procurement@alwarbuild851.in,57850
852,"Ajmer U Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829015964,procurement@ajmerbuild852.in,58200
853,"Bhilwara V Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829015971,procurement@bhilwarabuild853.in,58550
854,"Jaipur W Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829015978,procurement@jaipurbuild854.in,58900
855,"Jodhpur X Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829015985,procurement@jodhpurbuild855.in,59250
856,"Udaipur Y Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829015992,procurement@udaipurbuild856.in,59600
857,"Kota Z Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829015999,procurement@kotabuild857.in,59950
858,"Alwar A Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829016006,procurement@alwarbuild858.in,60300
859,"Ajmer B Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829016013,procurement@ajmerbuild859.in,60650
860,"Bhilwara C Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829016020,procurement@bhilwarabuild860.in,61000
861,"Jaipur D Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829016027,procurement@jaipurbuild861.in,61350
862,"Jodhpur E Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829016034,procurement@jodhpurbuild862.in,61700
863,"Udaipur F Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829016041,procurement@udaipurbuild863.in,62050
864,"Kota G Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829016048,procurement@kotabuild864.in,62400
865,"Alwar H Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829016055,procurement@alwarbuild865.in,62750
866,"Ajmer I Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829016062,procurement@ajmerbuild866.in,63100
867,"Bhilwara J Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829016069,procurement@bhilwarabuild867.in,63450
868,"Jaipur K Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829016076,procurement@jaipurbuild868.in,63800
869,"Jodhpur L Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829016083,procurement@jodhpurbuild869.in,64150
870,"Udaipur M Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829016090,procurement@udaipurbuild870.in,64500
871,"Kota N Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829016097,procurement@kotabuild871.in,64850
872,"Alwar O Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829016104,procurement@alwarbuild872.in,65200
873,"Ajmer P Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829016111,procurement@ajmerbuild873.in,65550
874,"Bhilwara Q Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829016118,procurement@bhilwarabuild874.in,65900
875,"Jaipur R Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829016125,procurement@jaipurbuild875.in,66250
876,"Jodhpur S Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829016132,procurement@jodhpurbuild876.in,66600
877,"Udaipur T Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829016139,procurement@udaipurbuild877.in,66950
878,"Kota U Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829016146,procurement@kotabuild878.in,67300
879,"Alwar V Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829016153,procurement@alwarbuild879.in,67650
880,"Ajmer W Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829016160,procurement@ajmerbuild880.in,68000
881,"Bhilwara X Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829016167,procurement@bhilwarabuild881.in,68350
882,"Jaipur Y Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829016174,procurement@jaipurbuild882.in,68700
883,"Jodhpur Z Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829016181,procurement@jodhpurbuild883.in,69050
884,"Udaipur A Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829016188,procurement@udaipurbuild884.in,69400
885,"Kota B Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829016195,procurement@kotabuild885.in,69750
886,"Alwar C Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829016202,procurement@alwarbuild886.in,70100
887,"Ajmer D Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829016209,procurement@ajmerbuild887.in,70450
888,"Bhilwara E Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829016216,procurement@bhilwarabuild888.in,70800
889,"Jaipur F Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829016223,procurement@jaipurbuild889.in,71150
890,"Jodhpur G Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829016230,procurement@jodhpurbuild890.in,71500
891,"Udaipur H Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829016237,procurement@udaipurbuild891.in,71850
892,"Kota I Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829016244,procurement@kotabuild892.in,72200
893,"Alwar J Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829016251,procurement@alwarbuild893.in,72550
894,"Ajmer K Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829016258,procurement@ajmerbuild894.in,72900
895,"Bhilwara L Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829016265,procurement@bhilwarabuild895.in,73250
896,"Jaipur M Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829016272,procurement@jaipurbuild896.in,73600
897,"Jodhpur N Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829016279,procurement@jodhpurbuild897.in,73950
898,"Udaipur O Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829016286,procurement@udaipurbuild898.in,74300
899,"Kota P Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829016293,procurement@kotabuild899.in,74650
900,"Alwar Q Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829016300,procurement@alwarbuild900.in,75000
901,"Ajmer R Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829016307,procurement@ajmerbuild901.in,75350
902,"Bhilwara S Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829016314,procurement@bhilwarabuild902.in,75700
903,"Jaipur T Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829016321,procurement@jaipurbuild903.in,76050
904,"Jodhpur U Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829016328,procurement@jodhpurbuild904.in,76400
905,"Udaipur V Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829016335,procurement@udaipurbuild905.in,76750
906,"Kota W Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829016342,procurement@kotabuild906.in,77100
907,"Alwar X Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829016349,procurement@alwarbuild907.in,77450
908,"Ajmer Y Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829016356,procurement@ajmerbuild908.in,77800
909,"Bhilwara Z Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829016363,procurement@bhilwarabuild909.in,78150
910,"Jaipur A Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829016370,procurement@jaipurbuild910.in,78500
911,"Jodhpur B Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829016377,procurement@jodhpurbuild911.in,78850
912,"Udaipur C Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829016384,procurement@udaipurbuild912.in,79200
913,"Kota D Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829016391,procurement@kotabuild913.in,79550
