id,shop_name,owner_name,phone,city,market_area,full_address,business_type,estimated_monthly_bags
1844,"Sharma National Hardware & Paints",Gopal Sharma,+919414011844,Jhunjhunu,"Peeru Singh Circle","Plot 104, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,358
1845,"Delhi Gate Paint & Hardware Store",Rajesh Sharma,+919414011845,Alwar,"Delhi Gate","Plot 105, Main Market, Delhi Gate, Alwar, Rajasthan",Paint Retailer,365
1846,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011846,Ajmer,"Parbatpura Industrial Area","Plot 106, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,372
1847,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011847,Kota,"DCM Road","Plot 107, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,379
1848,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011848,Jaipur,"Tonk Road","Plot 108, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,386
1849,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011849,Sikar,"Bajoria Road","Plot 109, Main Market, Bajoria Road, Sikar, Rajasthan",Texture & Putty Specialist,393
1850,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011850,Jhunjhunu,"Gugali Market","Plot 110, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,50
1851,"Hope Circus Maruti Paints & Coating Traders",Dinesh Meena,+919414011851,Alwar,"Hope Circus","Plot 111, Main Market, Hope Circus, Alwar, Rajasthan",Hardware & Sanitary,57
1852,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011852,Ajmer,"Parbatpura Industrial Area","Plot 112, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,64
1853,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011853,Kota,"DCM Road","Plot 113, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,71
1854,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011854,Jaipur,"Vaishali Nagar","Plot 114, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,78
1855,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011855,Sikar,"Station Road","Plot 115, Main Market, Station Road, Sikar, Rajasthan",Paint Retailer,85
1856,"Mittal Balaji Color World",Ashok Mittal,+919414011856,Jhunjhunu,"Mandawa Road","Plot 116, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,92
1857,"Company Bagh Road Vijay Paint & Plywood Stores",Kamal Verma,+919414011857,Alwar,"Company Bagh Road","Plot 117, Main Market, Company Bagh Road, Alwar, Rajasthan",Building Material Stockist,99
1858,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011858,Ajmer,"Parbatpura Industrial Area","Plot 118, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,106
1859,"Gopal National Hardware & Paints",Gopal Sharma,+919414011859,Kota,"DCM Road","Plot 119, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,113
1860,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011860,Jaipur,"Mansarovar","Plot 120, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,120
1861,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011861,Sikar,"Nawalgarh Road","Plot 121, Main Market, Nawalgarh Road, Sikar, Rajasthan",Hardware & Sanitary,127
1862,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011862,Jhunjhunu,"Road No 1","Plot 122, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,134
1863,"Manu Marg Hardware & Building Materials",Mukesh Gupta,+919414011863,Alwar,"Manu Marg","Plot 123, Main Market, Manu Marg, Alwar, Rajasthan",Exclusive Coating Dealer,141
1864,"Yadav Krishna Paint House",Ramesh Yadav,+919414011864,Ajmer,"Parbatpura Industrial Area","Plot 124, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,148
1865,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011865,Kota,"DCM Road","Plot 125, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,155
1866,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011866,Jaipur,"Malviya Nagar","Plot 126, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,162
1867,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011867,Sikar,"Salasar Bus Stand Market","Plot 127, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Building Material Stockist,169
1868,"Jain Laxmi Paint Center",Pankaj Jain,+919414011868,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 128, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,176
1869,"MIA Industrial Area Royal Paints & Texture Mart",Vinod Prajapat,+919414011869,Alwar,"MIA Industrial Area","Plot 129, Main Market, MIA Industrial Area, Alwar, Rajasthan",Texture & Putty Specialist,183
1870,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011870,Ajmer,"Parbatpura Industrial Area","Plot 130, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,190
1871,"Ashok Balaji Color World",Ashok Mittal,+919414011871,Kota,"DCM Road","Plot 131, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,197
1872,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011872,Jaipur,"Sanganer Market","Plot 132, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,204
1873,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011873,Sikar,"Kotwali Market","Plot 133, Main Market, Kotwali Market, Sikar, Rajasthan",Exclusive Coating Dealer,211
1874,"Sharma National Hardware & Paints",Gopal Sharma,+919414011874,Jhunjhunu,"Peeru Singh Circle","Plot 134, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,218
1875,"Bhiwadi Alwar Bypass Paint & Hardware Store",Rajesh Sharma,+919414011875,Alwar,"Bhiwadi Alwar Bypass","Plot 135, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Paint Retailer,225
1876,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011876,Ajmer,"Parbatpura Industrial Area","Plot 136, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,232
1877,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011877,Kota,"DCM Road","Plot 137, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,239
1878,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011878,Jaipur,"Tonk Road","Plot 138, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,246
1879,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011879,Sikar,"Piprali Road","Plot 139, Main Market, Piprali Road, Sikar, Rajasthan",Texture & Putty Specialist,253
1880,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011880,Jhunjhunu,"Gugali Market","Plot 140, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,260
1881,"Neemrana Industrial Zone Maruti Paints & Coating Traders",Dinesh Meena,+919414011881,Alwar,"Neemrana Industrial Zone","Plot 141, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Hardware & Sanitary,267
1882,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011882,Ajmer,"Parbatpura Industrial Area","Plot 142, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,274
1883,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011883,Kota,"DCM Road","Plot 143, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,281
1884,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011884,Jaipur,"Vaishali Nagar","Plot 144, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,288
1885,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011885,Sikar,"Fatehpur Road","Plot 145, Main Market, Fatehpur Road, Sikar, Rajasthan",Paint Retailer,295
1886,"Mittal Balaji Color World",Ashok Mittal,+919414011886,Jhunjhunu,"Mandawa Road","Plot 146, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,302
1887,"Delhi Gate Vijay Paint & Plywood Stores",Kamal Verma,+919414011887,Alwar,"Delhi Gate","Plot 147, Main Market, Delhi Gate, Alwar, Rajasthan",Building Material Stockist,309
1888,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011888,Ajmer,"Parbatpura Industrial Area","Plot 148, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,316
1889,"Gopal National Hardware & Paints",Gopal Sharma,+919414011889,Kota,"DCM Road","Plot 149, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,323
1890,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011890,Jaipur,"Mansarovar","Plot 150, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,330
1891,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011891,Sikar,"Bajoria Road","Plot 151, Main Market, Bajoria Road, Sikar, Rajasthan",Hardware & Sanitary,337
1892,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011892,Jhunjhunu,"Road No 1","Plot 152, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,344
1893,"Hope Circus Hardware & Building Materials",Mukesh Gupta,+919414011893,Alwar,"Hope Circus","Plot 153, Main Market, Hope Circus, Alwar, Rajasthan",Exclusive Coating Dealer,351
1894,"Yadav Krishna Paint House",Ramesh Yadav,+919414011894,Ajmer,"Parbatpura Industrial Area","Plot 154, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,358
1895,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011895,Kota,"DCM Road","Plot 155, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,365
1896,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011896,Jaipur,"Malviya Nagar","Plot 156, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,372
1897,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011897,Sikar,"Station Road","Plot 157, Main Market, Station Road, Sikar, Rajasthan",Building Material Stockist,379
1898,"Jain Laxmi Paint Center",Pankaj Jain,+919414011898,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 158, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,386
1899,"Company Bagh Road Royal Paints & Texture Mart",Vinod Prajapat,+919414011899,Alwar,"Company Bagh Road","Plot 159, Main Market, Company Bagh Road, Alwar, Rajasthan",Texture & Putty Specialist,393
1900,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011900,Ajmer,"Parbatpura Industrial Area","Plot 160, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,50
1901,"Ashok Balaji Color World",Ashok Mittal,+919414011901,Kota,"DCM Road","Plot 161, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,57
1902,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011902,Jaipur,"Sanganer Market","Plot 162, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,64
1903,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011903,Sikar,"Nawalgarh Road","Plot 163, Main Market, Nawalgarh Road, Sikar, Rajasthan",Exclusive Coating Dealer,71
1904,"Sharma National Hardware & Paints",Gopal Sharma,+919414011904,Jhunjhunu,"Peeru Singh Circle","Plot 164, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,78
1905,"Manu Marg Paint & Hardware Store",Rajesh Sharma,+919414011905,Alwar,"Manu Marg","Plot 165, Main Market, Manu Marg, Alwar, Rajasthan",Paint Retailer,85
1906,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011906,Ajmer,"Parbatpura Industrial Area","Plot 166, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,92
1907,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011907,Kota,"DCM Road","Plot 167, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,99
1908,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011908,Jaipur,"Tonk Road","Plot 168, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,106
1909,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011909,Sikar,"Salasar Bus Stand Market","Plot 169, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Texture & Putty Specialist,113
1910,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011910,Jhunjhunu,"Gugali Market","Plot 170, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,120
1911,"MIA Industrial Area Maruti Paints & Coating Traders",Dinesh Meena,+919414011911,Alwar,"MIA Industrial Area","Plot 171, Main Market, MIA Industrial Area, Alwar, Rajasthan",Hardware & Sanitary,127
1912,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011912,Ajmer,"Parbatpura Industrial Area","Plot 172, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,134
1913,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011913,Kota,"DCM Road","Plot 173, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,141
1914,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011914,Jaipur,"Vaishali Nagar","Plot 174, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,148
1915,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011915,Sikar,"Kotwali Market","Plot 175, Main Market, Kotwali Market, Sikar, Rajasthan",Paint Retailer,155
1916,"Mittal Balaji Color World",Ashok Mittal,+919414011916,Jhunjhunu,"Mandawa Road","Plot 176, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,162
1917,"Bhiwadi Alwar Bypass Vijay Paint & Plywood Stores",Kamal Verma,+919414011917,Alwar,"Bhiwadi Alwar Bypass","Plot 177, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Building Material Stockist,169
1918,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011918,Ajmer,"Parbatpura Industrial Area","Plot 178, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,176
1919,"Gopal National Hardware & Paints",Gopal Sharma,+919414011919,Kota,"DCM Road","Plot 179, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,183
1920,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011920,Jaipur,"Mansarovar","Plot 180, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,190
1921,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011921,Sikar,"Piprali Road","Plot 181, Main Market, Piprali Road, Sikar, Rajasthan",Hardware & Sanitary,197
1922,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011922,Jhunjhunu,"Road No 1","Plot 182, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,204
1923,"Neemrana Industrial Zone Hardware & Building Materials",Mukesh Gupta,+919414011923,Alwar,"Neemrana Industrial Zone","Plot 183, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Exclusive Coating Dealer,211
1924,"Yadav Krishna Paint House",Ramesh Yadav,+919414011924,Ajmer,"Parbatpura Industrial Area","Plot 184, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,218
1925,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011925,Kota,"DCM Road","Plot 185, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,225
1926,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011926,Jaipur,"Malviya Nagar","Plot 186, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,232
1927,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011927,Sikar,"Fatehpur Road","Plot 187, Main Market, Fatehpur Road, Sikar, Rajasthan",Building Material Stockist,239
1928,"Jain Laxmi Paint Center",Pankaj Jain,+919414011928,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 188, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,246
1929,"Delhi Gate Royal Paints & Texture Mart",Vinod Prajapat,+919414011929,Alwar,"Delhi Gate","Plot 189, Main Market, Delhi Gate, Alwar, Rajasthan",Texture & Putty Specialist,253
1930,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011930,Ajmer,"Parbatpura Industrial Area","Plot 190, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,260
1931,"Ashok Balaji Color World",Ashok Mittal,+919414011931,Kota,"DCM Road","Plot 191, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,267
1932,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011932,Jaipur,"Sanganer Market","Plot 192, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,274
1933,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011933,Sikar,"Bajoria Road","Plot 193, Main Market, Bajoria Road, Sikar, Rajasthan",Exclusive Coating Dealer,281
1934,"Sharma National Hardware & Paints",Gopal Sharma,+919414011934,Jhunjhunu,"Peeru Singh Circle","Plot 194, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,288
1935,"Hope Circus Paint & Hardware Store",Rajesh Sharma,+919414011935,Alwar,"Hope Circus","Plot 195, Main Market, Hope Circus, Alwar, Rajasthan",Paint Retailer,295
1936,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011936,Ajmer,"Parbatpura Industrial Area","Plot 196, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,302
1937,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011937,Kota,"DCM Road","Plot 197, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,309
1938,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011938,Jaipur,"Tonk Road","Plot 198, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,316
1939,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011939,Sikar,"Station Road","Plot 199, Main Market, Station Road, Sikar, Rajasthan",Texture & Putty Specialist,323
1940,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011940,Jhunjhunu,"Gugali Market","Plot 200, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,330
1941,"Company Bagh Road Maruti Paints & Coating Traders",Dinesh Meena,+919414011941,Alwar,"Company Bagh Road","Plot 201, Main Market, Company Bagh Road, Alwar, Rajasthan",Hardware & Sanitary,337
1942,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011942,Ajmer,"Parbatpura Industrial Area","Plot 202, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,344
1943,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011943,Kota,"DCM Road","Plot 203, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,351
1944,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011944,Jaipur,"Vaishali Nagar","Plot 204, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,358
1945,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011945,Sikar,"Nawalgarh Road","Plot 205, Main Market, Nawalgarh Road, Sikar, Rajasthan",Paint Retailer,365
1946,"Mittal Balaji Color World",Ashok Mittal,+919414011946,Jhunjhunu,"Mandawa Road","Plot 206, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,372
1947,"Manu Marg Vijay Paint & Plywood Stores",Kamal Verma,+919414011947,Alwar,"Manu Marg","Plot 207, Main Market, Manu Marg, Alwar, Rajasthan",Building Material Stockist,379
1948,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011948,Ajmer,"Parbatpura Industrial Area","Plot 208, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,386
1949,"Gopal National Hardware & Paints",Gopal Sharma,+919414011949,Kota,"DCM Road","Plot 209, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,393
1950,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011950,Jaipur,"Mansarovar","Plot 210, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,50
1951,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011951,Sikar,"Salasar Bus Stand Market","Plot 211, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Hardware & Sanitary,57
1952,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011952,Jhunjhunu,"Road No 1","Plot 212, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,64
1953,"MIA Industrial Area Hardware & Building Materials",Mukesh Gupta,+919414011953,Alwar,"MIA Industrial Area","Plot 213, Main Market, MIA Industrial Area, Alwar, Rajasthan",Exclusive Coating Dealer,71
1954,"Yadav Krishna Paint House",Ramesh Yadav,+919414011954,Ajmer,"Parbatpura Industrial Area","Plot 214, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,78
1955,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011955,Kota,"DCM Road","Plot 215, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,85
1956,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011956,Jaipur,"Malviya Nagar","Plot 216, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,92
1957,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011957,Sikar,"Kotwali Market","Plot 217, Main Market, Kotwali Market, Sikar, Rajasthan",Building Material Stockist,99
1958,"Jain Laxmi Paint Center",Pankaj Jain,+919414011958,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 218, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,106
1959,"Bhiwadi Alwar Bypass Royal Paints & Texture Mart",Vinod Prajapat,+919414011959,Alwar,"Bhiwadi Alwar Bypass","Plot 219, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Texture & Putty Specialist,113
1960,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011960,Ajmer,"Parbatpura Industrial Area","Plot 220, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,120
1961,"Ashok Balaji Color World",Ashok Mittal,+919414011961,Kota,"DCM Road","Plot 221, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,127
1962,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011962,Jaipur,"Sanganer Market","Plot 222, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,134
1963,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011963,Sikar,"Piprali Road","Plot 223, Main Market, Piprali Road, Sikar, Rajasthan",Exclusive Coating Dealer,141
1964,"Sharma National Hardware & Paints",Gopal Sharma,+919414011964,Jhunjhunu,"Peeru Singh Circle","Plot 224, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,148
1965,"Neemrana Industrial Zone Paint & Hardware Store",Rajesh Sharma,+919414011965,Alwar,"Neemrana Industrial Zone","Plot 225, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Paint Retailer,155
1966,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011966,Ajmer,"Parbatpura Industrial Area","Plot 226, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,162
1967,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011967,Kota,"DCM Road","Plot 227, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,169
1968,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011968,Jaipur,"Tonk Road","Plot 228, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,176
1969,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011969,Sikar,"Fatehpur Road","Plot 229, Main Market, Fatehpur Road, Sikar, Rajasthan",Texture & Putty Specialist,183
1970,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011970,Jhunjhunu,"Gugali Market","Plot 230, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,190
1971,"Delhi Gate Maruti Paints & Coating Traders",Dinesh Meena,+919414011971,Alwar,"Delhi Gate","Plot 231, Main Market, Delhi Gate, Alwar, Rajasthan",Hardware & Sanitary,197
1972,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011972,Ajmer,"Parbatpura Industrial Area","Plot 232, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,204
1973,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011973,Kota,"DCM Road","Plot 233, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,211
1974,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011974,Jaipur,"Vaishali Nagar","Plot 234, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,218
1975,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011975,Sikar,"Bajoria Road","Plot 235, Main Market, Bajoria Road, Sikar, Rajasthan",Paint Retailer,225
1976,"Mittal Balaji Color World",Ashok Mittal,+919414011976,Jhunjhunu,"Mandawa Road","Plot 236, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,232
1977,"Hope Circus Vijay Paint & Plywood Stores",Kamal Verma,+919414011977,Alwar,"Hope Circus","Plot 237, Main Market, Hope Circus, Alwar, Rajasthan",Building Material Stockist,239
1978,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011978,Ajmer,"Parbatpura Industrial Area","Plot 238, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,246
1979,"Gopal National Hardware & Paints",Gopal Sharma,+919414011979,Kota,"DCM Road","Plot 239, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,253
1980,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011980,Jaipur,"Mansarovar","Plot 240, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,260
1981,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011981,Sikar,"Station Road","Plot 241, Main Market, Station Road, Sikar, Rajasthan",Hardware & Sanitary,267
1982,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011982,Jhunjhunu,"Road No 1","Plot 242, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,274
1983,"Company Bagh Road Hardware & Building Materials",Mukesh Gupta,+919414011983,Alwar,"Company Bagh Road","Plot 243, Main Market, Company Bagh Road, Alwar, Rajasthan",Exclusive Coating Dealer,281
